Address,Price $,Type,Size m²,Bedrooms,Bathrooms
"Zaarour, El Metn, Mount Lebanon",220000,Land,980,N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",250000,Warehouse,500,2,N/A
"Fakra, Kesrouane, Mount Lebanon",600000,Chalet,200,3,3
"Ehmej, Jbeil, Mount Lebanon",280000,Land,1400,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",55000,Apartment,85,2,2
"Baabda, Baabda, Mount Lebanon",650000,Apartment,270,3,5
"Zouk Mosbeh, Kesrouane, Mount Lebanon",135000,Apartment,105,2,2
"Halat, Jbeil, Mount Lebanon",175000,Apartment,240,3,3
"Jeita, Kesrouane, Mount Lebanon",300000,Apartment,165,3,3
"Badaro, Beirut, Beirut",500000,Apartment,185,3,3
"Al Jamhour, Baabda, Mount Lebanon",535000,Apartment,320,3,3
"Mansourieh, El Metn, Mount Lebanon",70000,Office,65,1,N/A
"Mansourieh, El Metn, Mount Lebanon",1100000,House/Villa,1000,5,7
"Sarba, Kesrouane, Mount Lebanon",88000,Apartment,100,2,2
"Achrafieh, Beirut, Beirut",1500000,Apartment,379,4,6
"Kfar Kida, Jbeil, Mount Lebanon",450000,House/Villa,500,2,4
"Anfe, Koura, North",600000,Commercial Building,600,2,N/A
"Broumana, El Metn, Mount Lebanon",400000,Land,1100,N/A,N/A
"Aatchane, El Metn, Mount Lebanon",182000,Apartment,140,3,3
"Mazraat Yachouh, El Metn, Mount Lebanon",420000,Apartment,265,4,4
"Bteghrine, El Metn, Mount Lebanon",300000,Land,1700,N/A,N/A
"Jouret Al Ballout, El Metn, Mount Lebanon",500000,Land,1000,N/A,N/A
"Antelias, El Metn, Mount Lebanon",250000,Apartment,155,3,2
"Batroun, Batroun, North",850000,House/Villa,1000,4,4
"Hboub, Jbeil, Mount Lebanon",275000,Apartment,300,3,3
"Rabieh, El Metn, Mount Lebanon",1400000,Land,940,N/A,N/A
"Naccache, El Metn, Mount Lebanon",250000,Apartment,240,3,3
"Biakout, El Metn, Mount Lebanon",115000,Apartment,135,2,2
"Jdeideh, El Metn, Mount Lebanon",320000,Office,135,1,N/A
"Achrafieh, Beirut, Beirut",1300000,Office,400,N/A,N/A
"Naccache, El Metn, Mount Lebanon",2500000,Land,932,N/A,N/A
"Beit Chabeb, El Metn, Mount Lebanon",2200000,Apartment,1000,6,4
"Halat, Jbeil, Mount Lebanon",378000,Land,1260,N/A,N/A
"Achrafieh, Beirut, Beirut",350000,Apartment,150,3,3
"Achrafieh, Beirut, Beirut",700000,Apartment,350,4,4
"Edde, Jbeil, Mount Lebanon",160000,Apartment,151,3,3
"kfarhbeib, Kesrouane, Mount Lebanon",235000,Apartment,185,3,3
"Safra, Kesrouane, Mount Lebanon",140000,Apartment,165,3,3
"Klayaat, Kesrouane, Mount Lebanon",150000,Land,590,N/A,N/A
"Halat, Jbeil, Mount Lebanon",320000,Land,1063,N/A,N/A
"Bikfaya, El Metn, Mount Lebanon",1800000,House/Villa,1250,2,3
"Hazmieh, Baabda, Mount Lebanon",250000,Apartment,150,3,2
"Adonis, Kesrouane, Mount Lebanon",140000,Apartment,200,3,3
"Aamchit, Jbeil, Mount Lebanon",193000,Land,962,N/A,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",130000,Apartment,177,3,3
"Dbayeh, El Metn, Mount Lebanon",430000,Apartment,210,3,5
"Mansourieh, El Metn, Mount Lebanon",300000,Land,300,N/A,N/A
"Deir Al Qamar, Chouf, Mount Lebanon",350000,Land,7500,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",330000,Apartment,202,3,3
"Qortada, El Metn, Mount Lebanon",300000,House/Villa,1100,2,2
"Ain Al Remmane, Baabda, Mount Lebanon",475000,Apartment,230,3,4
"Baabda, Baabda, Mount Lebanon",299000,Apartment,200,3,4
"Baabdat, El Metn, Mount Lebanon",250000,Apartment,120,2,2
"Monteverde, El Metn, Mount Lebanon",500000,Apartment,240,4,4
"Zandouqa, El Metn, Mount Lebanon",265000,Land,2649,N/A,N/A
"Broumana, El Metn, Mount Lebanon",280000,Apartment,125,2,4
"Ain Saadeh, El Metn, Mount Lebanon",315000,Apartment,172,3,3
"Roumie, El Metn, Mount Lebanon",165000,Shop,100,1,N/A
"Sin El Fil, El Metn, Mount Lebanon",4500000,Gas Station,1050,N/A,N/A
"Chekka, Batroun, North",1300000,Commercial Building,1200,N/A,N/A
"chnaniir, Kesrouane, Mount Lebanon",4000000,House/Villa,1500,7,N/A
"Edde, Jbeil, Mount Lebanon",272000,Apartment,274,4,5
"Antelias, El Metn, Mount Lebanon",250000,Shop,100,1,N/A
"Biyada, El Metn, Mount Lebanon",800000,Land,1000,N/A,N/A
"Beit Chabeb, El Metn, Mount Lebanon",150000,Apartment,230,3,2
"Achrafieh, Beirut, Beirut",250000,Apartment,109,2,2
"Faraya, Kesrouane, Mount Lebanon",130000,Land,900,N/A,N/A
"Batroun, Batroun, North",125000,Apartment,163,3,2
"Jbeil, Jbeil, Mount Lebanon",155000,Apartment,150,3,2
"Achrafieh, Beirut, Beirut",1050000,Apartment,340,3,4
"Achrafieh, Beirut, Beirut",1200000,Apartment,230,2,3
"Mansourieh, El Metn, Mount Lebanon",229000,Apartment,200,3,3
"Broumana, El Metn, Mount Lebanon",230000,Apartment,140,3,3
"Faraya, Kesrouane, Mount Lebanon",300000,Chalet,132,2,2
"Achrafieh, Beirut, Beirut",3000000,Apartment,560,3,4
"Halat, Jbeil, Mount Lebanon",230000,Apartment,300,4,4
"Achrafieh, Beirut, Beirut",650000,Apartment,175,2,3
"Sahel Alma, Kesrouane, Mount Lebanon",260000,Apartment,185,3,3
"Batroun, Batroun, North",400000,House/Villa,130,2,2
"Nahr Ibrahim, Jbeil, Mount Lebanon",98000,Apartment,100,2,1
"Jounieh, Kesrouane, Mount Lebanon",275000,Apartment,228,3,2
"Achrafieh, Beirut, Beirut",450000,Apartment,235,3,3
"Hosrayel, Jbeil, Mount Lebanon",125000,Apartment,125,3,2
"Hosrayel, Jbeil, Mount Lebanon",115000,Apartment,115,2,2
"Haret Sakher, Kesrouane, Mount Lebanon",380000,Shop,300,2,N/A
"Beit Meri, El Metn, Mount Lebanon",950000,Land,772,N/A,N/A
"Achrafieh, Beirut, Beirut",450000,Apartment,170,3,3
"Mazraat Yachouh, El Metn, Mount Lebanon",250000,Warehouse,400,2,N/A
"Nabey, El Metn, Mount Lebanon",1300000,Land,1802,N/A,N/A
"Hazmieh, Baabda, Mount Lebanon",735000,Apartment,325,4,5
"Hboub, Jbeil, Mount Lebanon",155000,Apartment,150,3,3
"Monteverde, El Metn, Mount Lebanon",620000,Apartment,250,4,6
"Jbeil, Jbeil, Mount Lebanon",120000,Apartment,110,2,2
"Halat, Jbeil, Mount Lebanon",720000,Land,2401,N/A,N/A
"Edde, Jbeil, Mount Lebanon",175000,Apartment,240,3,3
"Edde, Jbeil, Mount Lebanon",125000,Apartment,122,2,2
"Edde, Jbeil, Mount Lebanon",185000,Apartment,150,3,3
"Hboub, Jbeil, Mount Lebanon",185000,Apartment,155,3,3
"Jbeil, Jbeil, Mount Lebanon",260000,Land,2025,N/A,N/A
"Rabweh, El Metn, Mount Lebanon",1035000,Land,2300,N/A,N/A
"Baabda, Baabda, Mount Lebanon",500000,Apartment,250,2,3
"Broumana, El Metn, Mount Lebanon",170000,Apartment,150,3,2
"Chikhane, Jbeil, Mount Lebanon",220000,Land,1260,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",13000000,Land,5185,N/A,N/A
"Achrafieh, Beirut, Beirut",650000,Apartment,220,3,3
"Jdayel, Jbeil, Mount Lebanon",135000,Apartment,125,2,2
"Hboub, Jbeil, Mount Lebanon",135000,Apartment,150,3,3
"Jbeil, Jbeil, Mount Lebanon",300000,Land,1100,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",190000,Land,622,N/A,N/A
"Antelias, El Metn, Mount Lebanon",325000,Warehouse,400,1,N/A
"Aamchit, Jbeil, Mount Lebanon",1500000,Land,1408,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",300000,Apartment,180,3,3
"Hboub, Jbeil, Mount Lebanon",110000,Apartment,160,3,3
"Jbeil, Jbeil, Mount Lebanon",240000,Land,1200,N/A,N/A
"Blat, Jbeil, Mount Lebanon",155000,Apartment,150,3,3
"Achrafieh, Beirut, Beirut",1450000,Land,324,N/A,N/A
"Broumana, El Metn, Mount Lebanon",500000,Apartment,275,3,4
"Broumana, El Metn, Mount Lebanon",900000,Apartment,355,3,4
"Mar Takla, Baabda, Mount Lebanon",280000,Apartment,180,3,3
"Jbeil, Jbeil, Mount Lebanon",76000,Apartment,100,2,2
"Blat, Jbeil, Mount Lebanon",135000,Apartment,125,2,2
"Aabeidat, Jbeil, Mount Lebanon",300000,House/Villa,300,3,3
"Rayfoun, Kesrouane, Mount Lebanon",290000,Apartment,165,2,2
"Hboub, Jbeil, Mount Lebanon",160000,Apartment,192,4,5
"Batroun, Batroun, North",330000,Land,4700,N/A,N/A
"Batroun, Batroun, North",295000,Land,3700,N/A,N/A
"Batroun, Batroun, North",450000,House/Villa,2535,3,3
"Jeita, Kesrouane, Mount Lebanon",270000,Chalet,130,2,2
"Fanar, El Metn, Mount Lebanon",135000,Apartment,155,3,3
"Naas, El Metn, Mount Lebanon",550000,House/Villa,1360,4,3
"Kornet Chehwan, El Metn, Mount Lebanon",935000,Land,1043,N/A,N/A
"Kornet Chehwan, El Metn, Mount Lebanon",1140000,Land,1268,N/A,N/A
"Ain Alak, El Metn, Mount Lebanon",1600000,Land,8418,N/A,N/A
"Fatqa, Kesrouane, Mount Lebanon",1100000,Land,5250,N/A,N/A
"Kfour, Kesrouane, Mount Lebanon",700000,Land,3373,N/A,N/A
"Maaysra, Kesrouane, Mount Lebanon",200000,Land,1600,N/A,N/A
"Edde, Jbeil, Mount Lebanon",155000,Apartment,170,3,2
"Jbeil, Jbeil, Mount Lebanon",137500,Apartment,110,2,2
"Naccache, El Metn, Mount Lebanon",290000,Shop,270,1,N/A
"Bsalim, El Metn, Mount Lebanon",165000,Apartment,135,3,N/A
"Faraya, Kesrouane, Mount Lebanon",110000,Chalet,100,2,2
"Hboub, Jbeil, Mount Lebanon",115000,Apartment,145,3,2
"Mechmech, Jbeil, Mount Lebanon",75000,Chalet,100,2,2
"Fatqa, Kesrouane, Mount Lebanon",145000,Apartment,265,3,4
"Mtayleb, El Metn, Mount Lebanon",700000,Apartment,340,4,4
"Mtayleb, El Metn, Mount Lebanon",380000,Apartment,300,3,3
"Batroun, Batroun, North",150000,Apartment,135,2,2
"Tabarja, Kesrouane, Mount Lebanon",140000,Chalet,50,1,1
"Ghazir, Kesrouane, Mount Lebanon",190000,Apartment,168,3,3
"Antelias, El Metn, Mount Lebanon",440000,Apartment,170,3,3
"Blat, Jbeil, Mount Lebanon",144000,Apartment,100,2,2
"Dbayeh, El Metn, Mount Lebanon",230000,Office,60,1,N/A
"Basbina, Batroun, North",150000,Apartment,150,3,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon",90000,Apartment,170,2,2
"Batroun, Batroun, North",400000,Land,1505,N/A,N/A
"Batroun, Batroun, North",125000,Apartment,115,2,2
"Horsh Tabet, El Metn, Mount Lebanon",460000,Apartment,325,3,3
"Baabdat, El Metn, Mount Lebanon",640000,Land,3675,N/A,N/A
"Achrafieh, Beirut, Beirut",350000,Apartment,180,3,2
"Mechmech, Jbeil, Mount Lebanon",110000,Land,1253,N/A,N/A
"Biyada, El Metn, Mount Lebanon",1200000,Apartment,560,3,4
"Batroun, Batroun, North",185000,Chalet,51,1,N/A
"Batroun, Batroun, North",170000,House/Villa,150,2,2
"Batroun, Batroun, North",180000,Land,4500,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",180000,Apartment,150,2,3
"Ras Beirut, Beirut, Beirut",70000,Shop,20,1,N/A
"Batroun, Batroun, North",1120000,Land,11200,N/A,N/A
"chnaniir, Kesrouane, Mount Lebanon",1800000,House/Villa,1760,N/A,N/A
"Batroun, Batroun, North",470000,Land,5860,N/A,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",175000,Chalet,45,1,1
"Ain Aar, El Metn, Mount Lebanon",2500000,House/Villa,938,5,7
"Batroun, Batroun, North",150000,Apartment,153,3,3
"New Mar Takla, Baabda, Mount Lebanon",550000,Apartment,240,3,4
"Achrafieh, Beirut, Beirut",700000,Apartment,180,2,3
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",500000,Land,650,N/A,N/A
"Ras Beirut, Beirut, Beirut",300000,Apartment,159,3,4
"Bagnols En Forêt, Var, Provence-Alpes-Côte d’Azur",€675000,House/Villa,124,3,3
"Shayle, Kesrouane, Mount Lebanon",96000,Apartment,110,2,2
"Ain Aar, El Metn, Mount Lebanon",310000,Apartment,280,3,4
"Batroun, Batroun, North",750000,Land,9000,N/A,N/A
"Batroun, Batroun, North",560000,Land,5348,N/A,N/A
"Bikfaya, El Metn, Mount Lebanon",1200000,Land,1392,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",80000,Office,65,1,N/A
"Sin El Fil, El Metn, Mount Lebanon",2600000,Commercial Building,4200,4,N/A
"Jounieh, Kesrouane, Mount Lebanon",185000,Warehouse,300,2,N/A
"Blat, Jbeil, Mount Lebanon",200000,Land,999,N/A,N/A
"Bikfaya, El Metn, Mount Lebanon",1200000,House/Villa,1392,8,4
"Halat, Jbeil, Mount Lebanon",200000,Land,906,N/A,N/A
"Sarba, Kesrouane, Mount Lebanon",195000,Shop,102,2,N/A
"Tabarja, Kesrouane, Mount Lebanon",950000,Land,1200,N/A,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",450000,Apartment,200,3,3
"Laqlouq, Jbeil, Mount Lebanon",250000,Land,1260,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",150000,Apartment,140,3,3
"Achrafieh, Beirut, Beirut",1500000,Apartment,660,4,4
"Mansourieh, El Metn, Mount Lebanon",150000,Apartment,170,3,2
"Biyada, El Metn, Mount Lebanon",775000,Apartment,360,4,6
"Biyada, El Metn, Mount Lebanon",775000,Apartment,325,3,4
"Dbayeh, El Metn, Mount Lebanon",730000,Apartment,180,3,3
"Down Town, Beirut, Beirut",2200000,Apartment,282,2,3
"Gherfine, Jbeil, Mount Lebanon",77000,Apartment,105,2,2
"Bijdarfel, Batroun, North",60000,Land,783,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",530000,House/Villa,620,6,6
"Beit el Chaar, El Metn, Mount Lebanon",245000,Apartment,220,3,3
"Batroun, Batroun, North",1500000,House/Villa,160,3,1
"Faraya, Kesrouane, Mount Lebanon",165000,Chalet,172,2,2
"Jbeil, Jbeil, Mount Lebanon",1700000,Land,850,6,6
"Zouk Mikael, Kesrouane, Mount Lebanon",900000,Commercial Building,1772,N/A,N/A
"Barbara, Jbeil, Mount Lebanon",950000,Residential Building,900,N/A,N/A
"Ghazir, Kesrouane, Mount Lebanon",200000,Land,475,N/A,N/A
"Down Town, Beirut, Beirut",4500000,Apartment,573,4,6
"Achrafieh, Beirut, Beirut",4500000,Apartment,617,5,5
"Achrafieh, Beirut, Beirut",400000,Apartment,160,3,3
"Achrafieh, Beirut, Beirut",363000,Apartment,145,2,2
"Faytroun, Kesrouane, Mount Lebanon",450000,Land,1285,N/A,N/A
"Gherfine, Jbeil, Mount Lebanon",400000,Land,1719,N/A,N/A
"Gherfine, Jbeil, Mount Lebanon",340000,Land,1486,N/A,N/A
"Batroun, Batroun, North",120000,Shop,47,1,N/A
"Badaro, Beirut, Beirut",325000,Apartment,253,4,3
"Badaro, Beirut, Beirut",350000,Apartment,185,3,2
"Jbeil, Jbeil, Mount Lebanon",195000,Apartment,160,3,3
"Baabdat, El Metn, Mount Lebanon",1500000,House/Villa,600,5,6
"Nahr Ibrahim, Jbeil, Mount Lebanon",110000,Apartment,120,2,2
"Edde, Batroun, North",450000,Land,1200,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",990000,Land,900,N/A,N/A
"Achrafieh, Beirut, Beirut",200000,Office,95,2,N/A
"Batroun, Batroun, North",99000,Land,1642,N/A,N/A
"Achrafieh, Beirut, Beirut",650000,Apartment,225,3,3
"Chekka, Batroun, North",1200000,Land,906,N/A,N/A
"Achrafieh, Beirut, Beirut",650000,Apartment,482,4,3
"Badaro, Beirut, Beirut",375000,Apartment,170,3,3
"Blat, Jbeil, Mount Lebanon",185000,Apartment,150,3,3
"Laqlouq, Jbeil, Mount Lebanon",75000,Land,800,N/A,N/A
"Naccache, El Metn, Mount Lebanon",300000,Apartment,200,3,3
"Jbeil, Jbeil, Mount Lebanon",210000,Apartment,270,3,3
"Faraya, Kesrouane, Mount Lebanon",300000,Land,997,N/A,N/A
"Zikrit, El Metn, Mount Lebanon",425000,Apartment,315,3,4
"Zikrit, El Metn, Mount Lebanon",275000,Apartment,200,3,3
"Zikrit, El Metn, Mount Lebanon",400000,Apartment,326,3,3
"Zikrit, El Metn, Mount Lebanon",275000,Apartment,226,3,3
"Jnah, Beirut, Beirut",1200000,Apartment,525,4,5
"Saki Rechmaya, Jbeil, Mount Lebanon",105000,Land,1205,N/A,N/A
"Achrafieh, Beirut, Beirut",580000,Office,173,N/A,N/A
"Achrafieh, Beirut, Beirut",330000,Office,220,4,N/A
"Achrafieh, Beirut, Beirut",370000,Apartment,160,3,3
"Chahtoul, Kesrouane, Mount Lebanon",275000,Land,2000,N/A,N/A
"Jal el Dib, El Metn, Mount Lebanon",330000,Apartment,200,3,2
"Achrafieh, Beirut, Beirut",350000,Apartment,200,3,3
"Basbina, Batroun, North",295000,Land,1667,N/A,N/A
"Hadath, Baabda, Mount Lebanon",160000,Office,106,2,N/A
"Achrafieh, Beirut, Beirut",1200000,Land,252,N/A,N/A
"Achrafieh, Beirut, Beirut",400000,Apartment,195,3,2
"Kornet Chehwan, El Metn, Mount Lebanon",1400000,House/Villa,1206,N/A,N/A
"Rayfoun, Kesrouane, Mount Lebanon",509000,Land,1271,N/A,N/A
"Achrafieh, Beirut, Beirut",300000,Apartment,110,2,2
"Achrafieh, Beirut, Beirut",270000,Apartment,128,2,2
"Zaarour, El Metn, Mount Lebanon",350000,Land,2310,N/A,N/A
"Batroun, Batroun, North",300000,Apartment,200,3,4
"Achrafieh, Beirut, Beirut",600000,Apartment,155,3,3
"Halat, Jbeil, Mount Lebanon",160000,Apartment,160,3,3
"Haqel, Jbeil, Mount Lebanon",65000,Land,1070,N/A,N/A
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",300000,Chalet,120,2,2
"Jbeil, Jbeil, Mount Lebanon",6000000,Commercial Building,1000,2,N/A
"Aamchit, Jbeil, Mount Lebanon",100000,Apartment,100,2,2
"Jbeil, Jbeil, Mount Lebanon",4000000,House/Villa,4000,7,7
"Jounieh, Kesrouane, Mount Lebanon",210000,Apartment,235,3,3
"Ajaltoun, Kesrouane, Mount Lebanon",2300000,Land,5838,N/A,N/A
"Biyada, El Metn, Mount Lebanon",1000000,Apartment,500,4,5
"Batroun, Batroun, North",107500,Land,4300,N/A,N/A
"Rabieh, El Metn, Mount Lebanon",460000,Apartment,320,3,4
"Faraya, Kesrouane, Mount Lebanon",245000,Land,825,N/A,N/A
"Ras Beirut, Beirut, Beirut",895000,Apartment,425,4,3
"Betchay, Baabda, Mount Lebanon",380000,Apartment,235,3,5
"Achrafieh, Beirut, Beirut",300000,Apartment,90,1,2
"Dik El Mehdi, El Metn, Mount Lebanon",300000,Apartment,235,3,4
"Naccache, El Metn, Mount Lebanon",180000,Apartment,155,3,3
"Dekweneh, El Metn, Mount Lebanon",390000,Warehouse,765,N/A,N/A
"Ain Al Remmane, Baabda, Mount Lebanon",160000,Apartment,180,4,2
"Jbeil, Jbeil, Mount Lebanon",160000,Apartment,155,2,2
"Achrafieh, Beirut, Beirut",900000,Apartment,300,N/A,N/A
"Ain Saadeh, El Metn, Mount Lebanon",860000,Land,1150,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",350000,Land,4500,N/A,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon",1600000,Land,1800,5,5
"Nahr Ibrahim, Jbeil, Mount Lebanon",1600000,House/Villa,1800,6,5
"Lehfed, Jbeil, Mount Lebanon",170000,Land,2360,N/A,N/A
"Lehfed, Jbeil, Mount Lebanon",170000,Land,2750,N/A,N/A
"Lehfed, Jbeil, Mount Lebanon",199000,Land,6480,N/A,N/A
"Batroun, Batroun, North",110000,Land,925,N/A,N/A
"Achrafieh, Beirut, Beirut",520000,Apartment,190,2,3
"Jbeil, Jbeil, Mount Lebanon",115000,Office,70,1,N/A
"Naccache, El Metn, Mount Lebanon",310000,Apartment,212,3,3
"Naccache, El Metn, Mount Lebanon",550000,Apartment,300,4,3
"Broumana, El Metn, Mount Lebanon",1200000,Apartment,450,4,6
"Ras Beirut, Beirut, Beirut",1100000,Apartment,380,4,3
"Blat, Jbeil, Mount Lebanon",1628000,Land,880,N/A,N/A
"Achrafieh, Beirut, Beirut",700000,Apartment,250,3,4
"Halat, Jbeil, Mount Lebanon",800000,Chalet,210,4,3
"Zalka, El Metn, Mount Lebanon",650000,Office,327,2,N/A
"Achrafieh, Beirut, Beirut",2200000,Apartment,500,4,4
"Jbeil, Jbeil, Mount Lebanon",175000,Apartment,168,3,3
"Mansourieh, El Metn, Mount Lebanon",145000,Apartment,145,3,2
"Jbeil, Jbeil, Mount Lebanon",208000,Apartment,208,3,3
"Down Town, Beirut, Beirut",700000,Shop,70,1,N/A
"Jbeil, Jbeil, Mount Lebanon",280000,Apartment,208,3,3
"Zaarour, El Metn, Mount Lebanon",650000,House/Villa,450,3,3
"Batroun, Batroun, North",250000,Apartment,98,3,1
"Batroun, Batroun, North",120000,Apartment,157,3,2
"Batroun, Batroun, North",370000,House/Villa,220,2,2
"Naccache, El Metn, Mount Lebanon",250000,Apartment,220,3,3
"Kfar Aabida, Batroun, North",350000,Land,1409,N/A,N/A
"Haqel, Jbeil, Mount Lebanon",60000,Land,895,N/A,N/A
"Batroun, Batroun, North",154000,Apartment,225,3,2
"Dbayeh, El Metn, Mount Lebanon",295000,Office,85,1,N/A
"Mtayleb, El Metn, Mount Lebanon",350000,Apartment,280,3,3
"Louaize, Baabda, Mount Lebanon",250000,Apartment,190,2,3
"Louaize, Baabda, Mount Lebanon",225000,Apartment,170,3,3
"Louaize, Baabda, Mount Lebanon",250000,Apartment,190,3,3
"Dbayeh, El Metn, Mount Lebanon",860600,Office,330,8,N/A
"Dbayeh, El Metn, Mount Lebanon",150000,Apartment,150,2,2
"Rabweh, El Metn, Mount Lebanon",185000,Apartment,220,3,3
"Beit Meri, El Metn, Mount Lebanon",310000,Land,600,N/A,N/A
"Achrafieh, Beirut, Beirut",650000,Apartment,186,3,4
"Achrafieh, Beirut, Beirut",600000,Apartment,168,3,4
"Hboub, Jbeil, Mount Lebanon",138000,Apartment,150,3,3
"Achrafieh, Beirut, Beirut",350000,Apartment,175,3,2
"Laqlouq, Jbeil, Mount Lebanon",130000,Chalet,105,2,2
"Batroun, Batroun, North",600000,Land,22670,N/A,N/A
"Beit Meri, El Metn, Mount Lebanon",4250000,Land,4110,N/A,N/A
"Achrafieh, Beirut, Beirut",200000,Apartment,140,2,2
"Down Town, Beirut, Beirut",800000,Apartment,170,2,3
"Limassol, Limassol, Limassol",375000,Apartment,77,2,2
"Limassol, Limassol, Limassol",250000,Apartment,77,2,2
"Kfarzebian, Kesrouane, Mount Lebanon",350000,Land,560,N/A,N/A
"Baabda, Baabda, Mount Lebanon",290000,Land,585,N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon",110000,Chalet,30,1,1
"Fatqa, Kesrouane, Mount Lebanon",330000,Apartment,380,3,5
"Ain Najem, El Metn, Mount Lebanon",1451200,Land,1814,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",240000,Apartment,170,3,4
"Batroun, Batroun, North",160000,Apartment,155,4,3
"Batroun, Batroun, North",140000,Apartment,132,3,2
"okaybe, Kesrouane, Mount Lebanon",100000,Land,800,N/A,N/A
"Halat, Jbeil, Mount Lebanon",130000,Apartment,155,3,3
"Aamchit, Jbeil, Mount Lebanon",105000,Apartment,186,2,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon",4500000,Commercial Building,4350,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",618800,Office,280,6,N/A
"Mansourieh, El Metn, Mount Lebanon",195000,Apartment,250,3,3
"Mansourieh, El Metn, Mount Lebanon",230000,Shop,207,1,N/A
"Mansourieh, El Metn, Mount Lebanon",190000,Shop,170,1,N/A
"Mansourieh, El Metn, Mount Lebanon",1900000,Apartment,750,4,5
"Tannourine, Batroun, North",55000,Land,828,N/A,N/A
"Chikhane, Jbeil, Mount Lebanon",130000,Land,1719,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",205000,Apartment,208,3,3
"Shayle, Kesrouane, Mount Lebanon",170000,Apartment,170,3,3
"Bikfaya, El Metn, Mount Lebanon",860000,Residential Building,600,N/A,N/A
"Mar Takla, Baabda, Mount Lebanon",275000,Apartment,100,2,2
"Yahchouch, Kesrouane, Mount Lebanon",185000,Land,4100,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",200000,Apartment,155,3,4
"Jbeil, Jbeil, Mount Lebanon",220000,Shop,85,1,N/A
"Ayroun, El Metn, Mount Lebanon",342500,Land,1370,N/A,N/A
"Blat, Jbeil, Mount Lebanon",125000,Apartment,145,3,2
"Achrafieh, Beirut, Beirut",210000,Apartment,55,1,1
"Achrafieh, Beirut, Beirut",445000,Apartment,115,1,1
"Jbeil, Jbeil, Mount Lebanon",95000,Shop,100,1,N/A
"Horsh Tabet, El Metn, Mount Lebanon",930000,Apartment,330,3,5
"Dbayeh, El Metn, Mount Lebanon",239200,Office,92,2,N/A
"Dbayeh, El Metn, Mount Lebanon",210600,Office,81,2,N/A
"Dbayeh, El Metn, Mount Lebanon",192400,Office,74,2,N/A
"Blat, Jbeil, Mount Lebanon",1200000,Residential Building,1410,28,N/A
"Sin El Fil, El Metn, Mount Lebanon",2900000,Land,1265,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",90000,Apartment,55,2,N/A
"Jbeil, Jbeil, Mount Lebanon",55000,Apartment,68,1,1
"Ras Beirut, Beirut, Beirut",690000,Apartment,174,3,3
"Achrafieh, Beirut, Beirut",1100000,Apartment,300,3,3
"Dbayeh, El Metn, Mount Lebanon",900000,Land,1156,N/A,N/A
"Al Jamhour, Baabda, Mount Lebanon",650000,Apartment,310,3,5
"Gharzouz, Jbeil, Mount Lebanon",355000,Land,3540,N/A,N/A
"Blat, Jbeil, Mount Lebanon",192000,Apartment,158,3,3
"Batroun, Batroun, North",400000,Apartment,700,3,5
"Blat, Jbeil, Mount Lebanon",165000,Apartment,138,3,3
"Batroun, Batroun, North",88000,Apartment,70,1,1
"Zouk Mosbeh, Kesrouane, Mount Lebanon",325000,Warehouse,600,1,N/A
"Batroun, Batroun, North",95000,Apartment,70,1,1
"Baabda, Baabda, Mount Lebanon",800000,Apartment,330,4,7
"Baabda, Baabda, Mount Lebanon",900000,Apartment,500,4,7
"Jouret Al Ballout, El Metn, Mount Lebanon",199000,Apartment,150,3,2
"Jouret Al Ballout, El Metn, Mount Lebanon",179000,Apartment,150,3,2
"kfarhbeib, Kesrouane, Mount Lebanon",250000,Apartment,171,3,3
"Batroun, Batroun, North",175000,Apartment,122,3,3
"Achrafieh, Beirut, Beirut",460000,Apartment,230,3,3
"Blat, Jbeil, Mount Lebanon",135000,Apartment,127,2,2
"Achrafieh, Beirut, Beirut",1120000,Apartment,373,4,5
"Chekka, Batroun, North",490000,Land,4469,N/A,N/A
"Batroun, Batroun, North",105000,Apartment,125,2,2
