Address,Price,Type,Size,Bedrooms,Bathrooms
"Bouar, Kesrouane, Mount Lebanon","$150,000",Apartment,130 m²,2,2
"VANVES France, VANVES-France, France","€455,000",Apartment,70 m²,2,1
"Edde, Jbeil, Mount Lebanon","$125,000",Apartment,125 m²,2,2
"Achrafieh, Beirut, Beirut","$400,000",Apartment,200 m²,2,2
"Monteverde, El Metn, Mount Lebanon","$350,000",Apartment,200 m²,3,3
"Sahel Alma, Kesrouane, Mount Lebanon","$400,000",Apartment,250 m²,4,3
"Haret Sakher, Kesrouane, Mount Lebanon","$325,000",House/Villa,200 m²,3,3
"Rabweh, El Metn, Mount Lebanon","$370,000",Apartment,190 m²,3,3
"Rabweh, El Metn, Mount Lebanon","$310,000",Apartment,200 m²,3,3
"Aamchit, Jbeil, Mount Lebanon","$110,000",Apartment,111 m²,2,2
"Paris 6ème, Paris 6ème, France","€860,000",Apartment,72 m²,2,1
"Chikhane, Jbeil, Mount Lebanon","$130,000",Land,"1,167 m²",N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon","$165,000",Warehouse,170 m²,1,N/A
"Naccache, El Metn, Mount Lebanon","$230,000",Apartment,145 m²,3,3
"Ras Beirut, Beirut, Beirut","$1,250,000",Apartment,400 m²,3,3
"Baabda, Baabda, Mount Lebanon","$295,000",Apartment,255 m²,3,4
"Adma, Kesrouane, Mount Lebanon","$1,100,000",Land,"1,445 m²",N/A,N/A
"Majdel Tarchich, El Metn, Mount Lebanon","$75,000",Land,800 m²,N/A,N/A
"Salima, Baabda, Mount Lebanon","$320,000",Land,950 m²,N/A,N/A
"Zalka, El Metn, Mount Lebanon","$200,000",Office,65 m²,1,N/A
"Paris 16ème, Paris 16ème, France","€720,000",Apartment,59 m²,2,1
"Badaro, Beirut, Beirut","$600,000",Apartment,200 m²,3,2
"Paris 16ème, Paris 16ème, France","€815,000",Apartment,60 m²,1,1
"Majdel Tarchich, El Metn, Mount Lebanon","$32,000",Land,750 m²,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$120,000",Apartment,166 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$150,000",Apartment,240 m²,4,4
"Jal el Dib, El Metn, Mount Lebanon","$175,000",Office,80 m²,1,N/A
"Jal el Dib, El Metn, Mount Lebanon","$120,000",Shop,121 m²,2,N/A
"Faraya, Kesrouane, Mount Lebanon","$275,000",Chalet,120 m²,3,2
"Paris 15ème, Paris 15ème, France","€821,000",Apartment,59 m²,2,1
"Paris 16ème, Paris 16ème, France","€486,000",Apartment,39 m²,1,1
"Aoukar, El Metn, Mount Lebanon","$619,000",Land,774 m²,N/A,N/A
"Aoukar, El Metn, Mount Lebanon","$840,000",Land,"1,050 m²",N/A,N/A
"Zaarour, El Metn, Mount Lebanon","$380,000",House/Villa,155 m²,3,3
"Adma, Kesrouane, Mount Lebanon","$700,000",Shop,400 m²,2,N/A
"Ras Beirut, Beirut, Beirut","$900,000",Office,200 m²,2,N/A
"Blat, Jbeil, Mount Lebanon","$185,000",Land,970 m²,N/A,N/A
"Blat, Jbeil, Mount Lebanon","$195,000",Land,"1,055 m²",N/A,N/A
"Hazmieh, Baabda, Mount Lebanon","$135,000",Office,100 m²,1,N/A
"Klayaat, Kesrouane, Mount Lebanon","$350,000",Land,"1,128 m²",N/A,N/A
"Paris 13ème, Paris 13ème, France","€330,000",Apartment,37 m²,1,1
"Paris 15ème, Paris 15ème, France","€270,000",Apartment,19 m²,1,1
"Paris 16ème, Paris 16ème, France","€394,000",Apartment,40 m²,1,1
"Paris 15ème, Paris 15ème, France","€359,000",Apartment,39 m²,1,1
"Paris 16ème, Paris 16ème, France","€590,000",Apartment,42 m²,1,1
"Hboub, Jbeil, Mount Lebanon","$115,000",Apartment,125 m²,2,2
"Ain Saadeh, El Metn, Mount Lebanon","$360,000",Apartment,200 m²,3,4
"Ain Saadeh, El Metn, Mount Lebanon","$310,000",Apartment,170 m²,3,4
"Ain Saadeh, El Metn, Mount Lebanon","$280,000",Apartment,161 m²,3,3
"Kaslik, Kesrouane, Mount Lebanon","$470,000",Chalet,100 m²,2,1
"Rabweh, El Metn, Mount Lebanon","$1,000,000",Apartment,525 m²,4,5
"Aatchane, El Metn, Mount Lebanon","$199,000",Apartment,142 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$65,000",Office,45 m²,1,N/A
"Kornet Chehwan, El Metn, Mount Lebanon","$2,335,000",Land,"2,335 m²",3,N/A
"Bouchrieh, El Metn, Mount Lebanon","$200,000",Warehouse,212 m²,1,N/A
"Adma, Kesrouane, Mount Lebanon","$650,000",Land,"1,165 m²",N/A,N/A
"Paris 16ème, Paris 16ème, France","€435,000",Apartment,34 m²,1,1
"Halat, Jbeil, Mount Lebanon","$115,000",Apartment,120 m²,2,2
"Mar Takla, Baabda, Mount Lebanon","$525,000",Shop,80 m²,2,N/A
"Mar Takla, Baabda, Mount Lebanon","$280,000",Shop,40 m²,1,N/A
"Bouchrieh, El Metn, Mount Lebanon","$600,000",Warehouse,650 m²,1,N/A
"Fakra, Kesrouane, Mount Lebanon","$350,000",Chalet,123 m²,2,2
"Sin El Fil, El Metn, Mount Lebanon","$2,200,000",Shop,440 m²,4,N/A
"Jbeil, Jbeil, Mount Lebanon","$395,000",Land,"3,950 m²",N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$250,000",Apartment,260 m²,3,3
"Haret Sakher, Kesrouane, Mount Lebanon","$135,000",Apartment,150 m²,3,3
"Edde, Jbeil, Mount Lebanon","$215,000",Apartment,160 m²,3,4
"Paris 16ème, Paris 16ème, France","€390,000",Apartment,33 m²,1,1
"Paris 7ème, Paris 7ème, France","€760,000",Apartment,58 m²,1,1
"Paris 7ème, Paris 7ème, France","€790,000",Apartment,63 m²,2,1
"Paris 16ème, Paris 16ème, France","€1,400,000",Apartment,78 m²,2,1
"Jbeil, Jbeil, Mount Lebanon","$300,000",Shop,110 m²,1,N/A
"Hazmieh, Baabda, Mount Lebanon","$400,000",Apartment,240 m²,3,4
"Paris 17ème, Paris 17ème, France","€710,000",Apartment,47 m²,2,1
"Paris 16ème, Paris 16ème, France","€840,000",Apartment,88 m²,2,1
"Paris 17ème, Paris 17ème, France","€839,000",Apartment,70 m²,2,1
"Aamchit, Jbeil, Mount Lebanon","$200,000",Apartment,200 m²,3,3
"Baabdat, El Metn, Mount Lebanon","$230,000",Apartment,160 m²,3,3
"Baabdat, El Metn, Mount Lebanon","$350,000",Apartment,250 m²,3,3
"Paris 16ème, Paris 16ème, France","€735,000",Apartment,83 m²,2,1
"Paris 16ème, Paris 16ème, France","€728,000",Apartment,48 m²,1,1
"Paris 8ème, Paris 8ème, France","€721,000",Apartment,55 m²,2,1
"Paris 8ème, Paris 8ème, France","€750,000",Apartment,65 m²,2,2
"Aamchit, Jbeil, Mount Lebanon","$300,000",Apartment,232 m²,3,3
"Achkout, Kesrouane, Mount Lebanon","$120,000",Apartment,100 m²,2,2
"Paris 8ème, Paris 8ème, France","€640,000",Apartment,58 m²,1,2
"Hboub, Jbeil, Mount Lebanon","$120,000",Apartment,124 m²,3,2
"Wata El Joz, Kesrouane, Mount Lebanon","$85,000",Land,"1,202 m²",N/A,N/A
"Wata El Joz, Kesrouane, Mount Lebanon","$2,200,000",Land,"30,617 m²",N/A,N/A
"Wata El Joz, Kesrouane, Mount Lebanon","$300,000",Land,"4,239 m²",N/A,N/A
"Wata El Joz, Kesrouane, Mount Lebanon","$1,030,000",Land,"14,717 m²",N/A,N/A
"Badaro, Beirut, Beirut","$650,000",Shop,290 m²,2,N/A
"Hboub, Jbeil, Mount Lebanon","$150,000",Apartment,175 m²,3,3
"Aamchit, Jbeil, Mount Lebanon","$135,000",Apartment,135 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$190,000",Apartment,170 m²,3,3
"Hazmieh, Baabda, Mount Lebanon","$1,250,000",Apartment,470 m²,3,5
"Achrafieh, Beirut, Beirut","$165,000",Apartment,80 m²,2,2
"Douar, El Metn, Mount Lebanon","$125,000",Apartment,125 m²,2,2
"Achrafieh, Beirut, Beirut","$550,000",Residential Building,126 m²,N/A,N/A
"Antelias, El Metn, Mount Lebanon","$225,000",Apartment,155 m²,3,3
"Antelias, El Metn, Mount Lebanon","$165,000",Apartment,135 m²,2,2
"Paris 16ème, Paris 16ème, France","€1,800,000",Apartment,147 m²,3,2
"Bsalim, El Metn, Mount Lebanon","$325,000",Land,380 m²,N/A,N/A
"Wata El Joz, Kesrouane, Mount Lebanon","$250,000",Land,861 m²,N/A,N/A
"Faraya, Kesrouane, Mount Lebanon","$1,000,000",Land,"3,200 m²",N/A,N/A
"Bsalim, El Metn, Mount Lebanon","$200,000",Apartment,165 m²,3,3
"Dekweneh, El Metn, Mount Lebanon","$300,000",Office,95 m²,1,N/A
"Adma, Kesrouane, Mount Lebanon","$800,000",Land,"1,220 m²",N/A,N/A
"Furn El Chebbak, Baabda, Mount Lebanon","$245,000",Apartment,135 m²,2,2
"chnaniir, Kesrouane, Mount Lebanon","$4,000,000",Apartment,"1,100 m²",4,6
"Paris 16ème, Paris 16ème, France","€1,340,000",Apartment,90 m²,2,2
"Paris 16ème, Paris 16ème, France","€1,700,000",Apartment,130 m²,3,2
"Jal el Dib, El Metn, Mount Lebanon","$185,000",Apartment,140 m²,3,3
"Bhorsaf, El Metn, Mount Lebanon","$300,000",Apartment,220 m²,3,4
"Bhorsaf, El Metn, Mount Lebanon","$290,000",Apartment,220 m²,3,4
"Bhorsaf, El Metn, Mount Lebanon","$310,000",Apartment,200 m²,3,4
"Achkout, Kesrouane, Mount Lebanon","$460,000",Apartment,440 m²,5,7
"Antelias, El Metn, Mount Lebanon","$250,000",Apartment,235 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$107,000",Apartment,137 m²,2,2
"Jbeil, Jbeil, Mount Lebanon","$115,000",Apartment,100 m²,2,2
"Qornet El Hamra, El Metn, Mount Lebanon","$425,000",Apartment,252 m²,3,4
"Sahel Alma, Kesrouane, Mount Lebanon","$2,000,000",Land,"2,500 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$250,000",Apartment,150 m²,2,3
"Bouchrieh, El Metn, Mount Lebanon","$65,000",Shop,62 m²,2,N/A
"Barbara, Jbeil, Mount Lebanon","$68,000",Apartment,90 m²,2,2
"Halat, Jbeil, Mount Lebanon","$850,000",Land,"1,500 m²",N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon","$165,000",Chalet,100 m²,2,1
"Ras Beirut, Beirut, Beirut","$160,000",Shop,90 m²,1,N/A
"Paris 16ème, Paris 16ème, France","$1,795,000",Apartment,122 m²,3,2
"Adma, Kesrouane, Mount Lebanon","$315,000",Apartment,170 m²,3,4
"Jdeideh, El Metn, Mount Lebanon","$210,000",Apartment,155 m²,3,2
"Shayle, Kesrouane, Mount Lebanon","$185,000",Apartment,150 m²,3,3
"Shayle, Kesrouane, Mount Lebanon","$185,000",Warehouse,400 m²,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$67,000",Apartment,110 m²,2,2
"Kaslik, Kesrouane, Mount Lebanon","$275,000",Chalet,57 m²,1,1
"Roumie, El Metn, Mount Lebanon","$1,240,000",Land,"1,380 m²",N/A,N/A
"Sahel Alma, Kesrouane, Mount Lebanon","$130,000",Apartment,170 m²,2,2
"Naccache, El Metn, Mount Lebanon","$1,000,000",House/Villa,500 m²,4,5
"Achrafieh, Beirut, Beirut","$730,000",Apartment,210 m²,3,3
"Yarzeh, Baabda, Mount Lebanon","$820,000",Apartment,380 m²,3,4
"Achrafieh, Beirut, Beirut","$510,000",Apartment,170 m²,3,3
"Mazraat Yachouh, El Metn, Mount Lebanon","$130,000",Apartment,120 m²,2,2
"Bsalim, El Metn, Mount Lebanon","$170,000",Apartment,170 m²,3,3
"Bsalim, El Metn, Mount Lebanon","$170,000",Apartment,170 m²,3,3
"Nabey, El Metn, Mount Lebanon","$210,000",Apartment,160 m²,3,3
"Nabey, El Metn, Mount Lebanon","$220,000",Apartment,165 m²,3,3
"Nabey, El Metn, Mount Lebanon","$210,000",Apartment,160 m²,3,3
"Nabey, El Metn, Mount Lebanon","$325,000",Apartment,320 m²,4,5
"Hazmieh, Baabda, Mount Lebanon","$1,050,000",Land,"1,360 m²",N/A,N/A
"Dbayeh, El Metn, Mount Lebanon","$350,000",Apartment,230 m²,3,3
"Dbayeh, El Metn, Mount Lebanon","$500,000",Warehouse,617 m²,1,N/A
"Jbeil, Jbeil, Mount Lebanon","$850,000",Land,"1,600 m²",N/A,N/A
"Kornet Chehwan, El Metn, Mount Lebanon","$350,000",Apartment,220 m²,4,4
"Kornet Chehwan, El Metn, Mount Lebanon","$350,000",Apartment,220 m²,4,4
"Kornet Chehwan, El Metn, Mount Lebanon","$300,000",Apartment,200 m²,3,4
"Yarzeh, Baabda, Mount Lebanon","$1,150,000",Apartment,400 m²,4,5
"Rueil-Malmaison, Rueil-Malmaison, France","€635,000",Apartment,93 m²,3,1
"Ballouneh, Kesrouane, Mount Lebanon","$235,000",Apartment,160 m²,3,3
"Ballouneh, Kesrouane, Mount Lebanon","$190,000",Apartment,145 m²,3,3
"Ballouneh, Kesrouane, Mount Lebanon","$295,000",Apartment,145 m²,3,3
"Ballouneh, Kesrouane, Mount Lebanon","$190,000",Apartment,145 m²,3,3
"Rueil-Malmaison, Rueil-Malmaison, France","€142,000",Apartment,20 m²,1,N/A
"Jbeil, Jbeil, Mount Lebanon","$135,000",Apartment,120 m²,2,2
"Qannabet Broumana, El Metn, Mount Lebanon","$280,000",Apartment,220 m²,4,3
"kfarhbeib, Kesrouane, Mount Lebanon","$650,000",Apartment,300 m²,3,5
"Aoukar, El Metn, Mount Lebanon","$80,000",Warehouse,300 m²,1,N/A
"Fatqa, Kesrouane, Mount Lebanon","$325,000",Apartment,275 m²,2,3
"Ain El Rihani, Kesrouane, Mount Lebanon","$460,000",Land,"2,308 m²",N/A,N/A
"Dbayeh, El Metn, Mount Lebanon","$9,000,000",Commercial Building,"3,200 m²",6,N/A
"Ghazir, Kesrouane, Mount Lebanon","$2,900,000",House/Villa,"1,000 m²",6,9
"Achrafieh, Beirut, Beirut","$200,000",Apartment,120 m²,2,2
"Jounieh, Kesrouane, Mount Lebanon","$165,000",Chalet,75 m²,2,2
"Ain Saadeh, El Metn, Mount Lebanon","$300,000",Apartment,250 m²,4,4
"Ballouneh, Kesrouane, Mount Lebanon","$150,000",Shop,86 m²,1,N/A
